DS_SHORT_NAME,DS_URL_TYPE,DS_URL,DS_URL_COMMENTS,PERIOD_AVAIL,DP_DIR_PATH,DP_DIR_HOST,ENTERED
c4dlase,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/camex4/c4dlase/TUTORIAL.pdf,,,,,
c4dlip,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/camex4/c4dlip/lip.pdf,,,,,
c4dmms,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/camex4/c4dmms/mms.pdf,,,,,
c4dmtp,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/camex4/c4dmtp/MTP_DC8_Readme.rtf,,,,,
c4dmtp,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/camex4/c4dmtp/TZS_20010825oe.PNG,,,,,
nam2ds,Data Access,ftp://airbornescience.nsstc.nasa.gov/namma/2DS-CPI/data/,,All,/ftp/public/namma/2DS-CPI/data/,GHRC-FC02,
gripdawn,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/grip/gripdawn/DAWNGRIPDataFileNamingConvention.doc,file naming convention,,,,
gripdawn,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/grip/gripdawn/DAWNWindLidarDataDescription-General.doc,DAWN wind lidar general data description,,,,
gripdawn,Homepage,http://grip.nsstc.nasa.gov/,,,,,
gripdawn,Data Access,ftp://airbornescience.nsstc.nasa.gov/grip/DAWN/data/,,All,/ftp/public/grip/DAWN/data/,GHRC-FC02,
gripdawn,Browse,ftp://airbornescience.nsstc.nasa.gov/grip/DAWN/browse/,,All,/ftp/public/grip/DAWN/browse/,GHRC-FC02,
griplase,Software,ftp://ghrc.nsstc.nasa.gov/pub/doc/grip/griplase/read_lase_gh.c,LASE read software,,,,
lohrac,Software,ftp://ghrc.nsstc.nasa.gov/pub/doc/lis_climatology/getgrid.pro,Dennis Boccippio code,,,,
lohrfc,Software,ftp://ghrc.nsstc.nasa.gov/pub/doc/lis_climatology/getgrid.pro,Dennis Boccippio code,,,,
lohrmc,Software,ftp://ghrc.nsstc.nasa.gov/pub/doc/lis_climatology/getgrid.pro,Dennis Boccippio code,,,,
msut2,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/data/msu/docs/readme.ppt,Christy readme,,,GHRC-LT01,
msut4,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/data/msu/docs/readme.ppt,Christy readme,,,GHRC-LT01,
msut2lt,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/data/msu/docs/readme.ppt,Christy readme,,,GHRC-LT01,
msut2lt,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/data/msu/docs/readme.msu,Christy readme,,,GHRC-LT01,
msut2,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/data/msu/docs/readme.msu,Christy readme,,,GHRC-LT01,
msut4,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/data/msu/docs/readme.msu,Christy readme,,,GHRC-LT01,
